Summons Number	Plate ID	Registration State	Plate Type	Issue Date	Violation Code	Vehicle Body Type	Vehicle Make	Issuing Agency	Street Code1	Street Code2	Street Code3	Vehicle Expiration Date	Violation Location	Violation Precinct	Issuer Precinct	Issuer Code	Issuer Command	Issuer Squad	Violation Time	Time First Observed	Violation County	Violation In Front Of Or Opposite	House Number	Street Name	Intersecting Street	Date First Observed	Law Section	Sub Division	Violation Legal Code	Days Parking In Effect    	From Hours In Effect	To Hours In Effect	Vehicle Color	Unregistered Vehicle?	Vehicle Year	Meter Number	Feet From Curb	Violation Post Code	Violation Description	No Standing or Stopping Violation	Hydrant Violation	Double Parking Violation
1159637337	KZH2758	NY	PAS	2023-06-09T00:00:00.000	67	VAN	HONDA	P	0	0	0	20250201	0043	43	43	972773	0043	0000	0911A		BX			I/O TAYLOR AVE	GUERLAIN	0	408	E5		BBBBBBB	ALL	ALL	BLUE	0	2006	-	0					
1252960645	JPD8746	NY	PAS	2023-06-30T00:00:00.000	87	SUBN	LINCO	M	17870	25390	32670	20240210	0014	14	968	271057	0968	0000	0717A		NY	O	51	E 44TH ST		0	408	D		BBBBBBB	ALL	ALL	GRAY	0	2020	-	0					
1252960669	JPD8746	NY	PAS	2023-06-30T00:00:00.000	31	SUBN	LINCO	M	17870	25390	32670	20240210	0014	14	968	271057	0968	0000	0823A			O	51	E 44TH STREET		0	408	O3		BBBBBBB	ALL	ALL	GRAY	0	2020	-	0					
1252994126	MBH9245	99	PAS	2023-07-06T00:00:00.000	20	SDN	KIA	M	12690	41700	61090	20231231	108	108	968	272834	0968	0000	1150P			F	39-41	60TH ST		0	408	D		BBBBBBB	ALL	ALL	WHITE	0	0	-	0					
1252994175	MBH9245	PA	PAS	2023-07-08T00:00:00.000	40	SDN	KIA	M	12690	41700	61090	20231231	108	108	968	272834	0968	0000	1150P		Q	F	39-41	60TH ST		0	408	D		BBBBBBB	ALL	ALL	WHITE	0	0	-	0					
1307574919	LBZ7486	NY	PAS	2023-07-01T00:00:00.000	14	SUBN	HONDA	P	0	0	0	20250518	110	110	169	947343	0169	0000	0618P		Q			C/O 126 ST	38 AVE	0	408	E2		BBBBBBB	ALL	ALL	BK	0	2014	-	0					
1307574944	JRB4166	FL	PAS	2023-06-07T00:00:00.000	46	SUBN	HONDA	P	8690	21690	21740	20240312	110	110	169	947343	0169	0000	0246P		Q	F	126 05	36 AVE		0	408	C3		BBBBBBB	ALL	ALL		0	0	-	0					
1307575950	LCA7360J	NY	PAS	2023-06-21T00:00:00.000	46	SUBN	HONDA	P	0	61090	0	20250430	110	110	169	969119	0169	0000	0620P		Q			STADIUM P N	ROOSEVELT AVE	0	408	F2		BBBBBBB	ALL	ALL	GRY	0	2015	-	0					
1307575973	HNE3840	NY	PAS	2023-06-21T00:00:00.000	14	SDN	MAZDA	P	0	0	0	20250221	110	110	169	969119	0169	0000	0625P		Q			STADIUM P N	ROOSEVELT	0	408	C		BBBBBBB	ALL	ALL	WHT	0	2020	-	0					
1307576886	LAG7093	NY	OMT	2023-06-03T00:00:00.000	46	SDN	HONDA	P	0	40404	40404	20250129	110	110	110	961387	0110	0000	0230P		Q	F	41	SEAVER WAY		0	408	F7		BBBBBBB	ALL	ALL	BLUE	0	2006	-	0					
1326049732	KXG5820	NY	PAS	2023-07-03T00:00:00.000	14	SDN	HONDA	P	59590	9440	0	20240428	109	109	109	975295	0109	0000	0834P		Q			PRINCE STREET	40 ROAD	0	408	E2		BBBBBBB	ALL	ALL	GREY	0	2007	-	0					
1326051532	KKX4930	NY	PAS	2023-06-29T00:00:00.000	50	SDN	HONDA	P	37890	51290	51895	20250426	109	109	109	969896	0109	0000	0439P	0435P	Q	O	46-50	BURLING STREET		0	408	E2		BBBBBBB	ALL	ALL	WHITE	0	2013	-	0					
1326051740	LCV1407	NY	PAS	2023-06-29T00:00:00.000	98	SUBN	TOYOT	P	24090	10290	52490	20250619	109	109	109	959549	0109	0000	0629P		Q	F	46-08	161 ST		0	408	E5		BBBBBBB	ALL	ALL	BLK	0	2008	-	0					
1326051787	KWG4794	NY	PAS	2023-06-29T00:00:00.000	40	SDN	KIA	P	23840	57790	42120	20240910	109	109	109	959549	0109	0000	1150P		Q	F	40-22	158 ST		0	408	K6		BBBBBBB	ALL	ALL	RED	0	2021	-	0					
1326051799	GTK9218	NY	PAS	2023-06-30T00:00:00.000	98	SDN	VOLKS	P	28940	9690	57790	20240928	109	109	109	959549	0109	0000	0600P		Q	F	42-26	AUBURNDALE LN		0	408	E2		BBBBBBB	ALL	ALL	GOLD	0	2012	-	0					
1326051817	HTM79881	NY	PAS	2023-06-30T00:00:00.000	21	SUBN	TOYOT	P	21790	5940	0	20230910	109	109	109	959549	0109	0000	0634P		Q			128 ST	14 AVE	0	408	D1		BBBBBBB	ALL	ALL	BLUE	0	2006	-	0					
1326051842	JD32DX	FL	PAS	2023-06-30T00:00:00.000	6	TRUC	VOLVO	P	36400	24240	46090	20231031	109	109	109	959549	0109	0000	0933P			O	172-00	BOOTH MEMORIAL AVE		0	408	E2		BBBBBBB	ALL	ALL		0	0	-	0					
1326051880	LAV8331	NY	PAS	2023-06-30T00:00:00.000	98	SUBN	LEXUS	P	8440	65490	58590	20250313	109	109	109	959549	0109	0000	1010P		Q	F	140-84	34 AVE		0	408	K6		BBBBBBB	ALL	ALL	BLK	0	2009	-	0					
1326051945	JRV6573	NY	PAS	2023-06-26T00:00:00.000	40	SUBN	ACURA	P	6190	23090	23190	20240531	109	109	109	951887	0109	0000	1029A		Q	F	147-63	18 AVE		0	408	F2		BBBBBBB	ALL	ALL	WH	0	2020	-	0					
1326051957	JLF9909	NY	PAS	2023-06-26T00:00:00.000	14	SDN	AUDI	P	8590	53390	65490	20250718	109	109	109	951887	0109	0000	1125A		Q	F	138-11	35 AVE		0	408	E2		BBBBBBB	ALL	ALL	RD	0	2010	-	0					
